age_cat,stab,variable,value
45,ID,female,54618
45,IL,female,407438
45,IN,female,211498
45,KS,female,83816
45,KY,female,138711
45,LA,female,142831
45,MA,female,227130
45,MD,female,201356
45,ME,female,39849
45,MI,female,307274
45,MN,female,171200
45,MO,female,192552
45,MS,female,103267
45,MT,female,27780
45,NC,female,351038
45,ND,female,18468
45,NE,female,49692
45,NH,female,42384
45,NJ,female,305422
45,NM,female,64445
45,NV,female,104340
45,NY,female,645938
45,OH,female,367166
45,OK,female,121789
45,OR,female,123687
45,PA,female,404263
45,RI,female,30524
45,SC,female,166308
45,SD,female,22780
45,TN,female,216918
45,TX,female,928452
45,UT,female,88179
45,VA,female,276242
45,VT,female,17429
45,WA,female,228433
45,WI,female,176817
45,WV,female,54902
45,WY,female,17334
50,AK,female,23403
50,AL,female,158348
50,AR,female,96547
50,AZ,female,212852
50,CA,female,1291359
50,CO,female,171006
50,CT,female,135616
50,DC,female,19172
50,DE,female,31855
50,FL,female,672973
50,GA,female,350403
50,HI,female,43475
50,IA,female,90020
50,ID,female,45164
